gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_type	cluster	pct.diff
TRBC2	1.7934482671198357e-4	-2.422886303279414	0.025	0.142	1	T cells	7	-0.11699999999999999
KLRD1	0.004193601105952839	-2.0551964961942377	0.017	0.09	1	NK cells	7	-0.073
NKG7	3.005062060814594e-8	-3.5879132441629196	0.05	0.267	3.806512112433846e-4	NK cells	7	-0.21700000000000003
KLRC1	0.28272570760498733	-0.7167285775371075	0.008	0.023	1	NK cells	7	-0.015
FCGR3A	3.2098483454616976e-4	-2.1608371082333413	0.033	0.146	1	NK cells	7	-0.11299999999999999
CD14	1.1298603818957861e-5	-1.6156267877610702	0.058	0.217	0.14311941457473923	monocytes	7	-0.159
FCN1	7.649829878825491e-4	-1.1208613170456214	0.275	0.375	1	monocytes	7	-0.09999999999999998
VCAN	7.813042513495518e-6	-1.950797116988118	0.242	0.384	0.09896780951844772	monocytes	7	-0.14200000000000002
CD1C	3.172967977767634e-290	2.764951349058597	0.425	0.01	4.0191985374382617e-286	Dendritic cells	7	0.415
CD1E	7.196548574074885e-47	0.6874827710278888	0.05	0.001	9.115868078780657e-43	Dendritic cells	7	0.049
FCER1A	0	3.451534850535509	0.55	0.002	0	Dendritic cells	7	0.548
MS4A1	0.005454268712124538	-2.4713381509229566	0.008	0.075	1	B cells	7	-0.067
CD79A	0.2669426689932904	-0.7823230491041117	0.017	0.035	1	B cells	7	-0.018000000000000002
CD79B	0.09260111810790285	-0.8042147982707091	0.008	0.037	1	B cells	7	-0.028999999999999998
IGHD	0.7517953810755813	-0.3731843928308128	0.008	0.011	1	B cells	7	-0.002999999999999999
HLA-DRA	1.292425039270162e-66	2.52436501261891	1	0.465	1.6371147972435144e-62	B cells	7	0.5349999999999999
JCHAIN	1.2311917617000415e-22	0.4753490811939103	0.167	0.023	1.5595506045454426e-18	Plasma cells	7	0.14400000000000002
MZB1	2.5822603524526853e-10	0.3282728437407141	0.108	0.021	3.2709491884518163e-6	Plasma cells	7	0.087
IGHG1	0.28234766512064163	-1.3486545729068227	0	0.01	1	Plasma cells	7	-0.01
CD2	0.03719587501994511	-1.941350931811156	0	0.085	1	T cells	8	-0.085
CD3D	0.011086907164016684	-2.54075040173615	0	0.121	1	T cells	8	-0.121
TRAC	0.06172955336242005	-1.6368467448477046	0	0.069	1	T cells	8	-0.069
